Using device: cuda
Classes: ['fake', 'real']
Train size: 38392 | Val size: 9599 | Test size: 11997

=== Baseline 1: Majority ===
Majority class: 0 (fake), count=19229

=== Majority Class Baseline ===
Predicting class: 0 (fake)
Train accuracy: 0.5009
Val accuracy:   0.4968
Test accuracy:  0.5001

=== Baseline 2: Logistic Regression ===
[LogReg] Input dim: 150528, Num classes: 2
[LogReg][Epoch 1/150] Loss: 38.5777
[LogReg][Epoch 2/150] Loss: 36.6266
[LogReg][Epoch 3/150] Loss: 38.1771
[LogReg][Epoch 4/150] Loss: 38.3482
[LogReg][Epoch 5/150] Loss: 38.0901
[LogReg][Epoch 6/150] Loss: 38.0776
[LogReg][Epoch 7/150] Loss: 36.9745
[LogReg][Epoch 8/150] Loss: 37.7862
[LogReg][Epoch 9/150] Loss: 36.9186
[LogReg][Epoch 10/150] Loss: 38.1609
[LogReg][Epoch 11/150] Loss: 38.7145
[LogReg][Epoch 12/150] Loss: 37.7028
[LogReg][Epoch 13/150] Loss: 37.5195
[LogReg][Epoch 14/150] Loss: 37.2397
[LogReg][Epoch 15/150] Loss: 37.6371
[LogReg][Epoch 16/150] Loss: 36.9755
[LogReg][Epoch 17/150] Loss: 37.5584
[LogReg][Epoch 18/150] Loss: 37.6798
[LogReg][Epoch 19/150] Loss: 37.4924
[LogReg][Epoch 20/150] Loss: 37.4896
[LogReg][Epoch 21/150] Loss: 37.5268
[LogReg][Epoch 22/150] Loss: 38.3473
[LogReg][Epoch 23/150] Loss: 37.9261
[LogReg][Epoch 24/150] Loss: 36.4793
[LogReg][Epoch 25/150] Loss: 38.1876
[LogReg][Epoch 26/150] Loss: 37.0809
[LogReg][Epoch 27/150] Loss: 37.8970
[LogReg][Epoch 28/150] Loss: 37.5697
[LogReg][Epoch 29/150] Loss: 36.5900
[LogReg][Epoch 30/150] Loss: 36.7640
[LogReg][Epoch 31/150] Loss: 36.9257
[LogReg][Epoch 32/150] Loss: 37.7435
[LogReg][Epoch 33/150] Loss: 37.1730
[LogReg][Epoch 34/150] Loss: 37.0707
[LogReg][Epoch 35/150] Loss: 37.5424
[LogReg][Epoch 36/150] Loss: 37.5151
[LogReg][Epoch 37/150] Loss: 37.2031
[LogReg][Epoch 38/150] Loss: 37.1523
[LogReg][Epoch 39/150] Loss: 36.1667
[LogReg][Epoch 40/150] Loss: 37.8691
[LogReg][Epoch 41/150] Loss: 36.8886
[LogReg][Epoch 42/150] Loss: 36.9350
[LogReg][Epoch 43/150] Loss: 37.8912
[LogReg][Epoch 44/150] Loss: 37.6620
[LogReg][Epoch 45/150] Loss: 36.3561
[LogReg][Epoch 46/150] Loss: 37.2814
[LogReg][Epoch 47/150] Loss: 37.5092
[LogReg][Epoch 48/150] Loss: 37.3225
[LogReg][Epoch 49/150] Loss: 37.4176
[LogReg][Epoch 50/150] Loss: 37.2661
[LogReg][Epoch 51/150] Loss: 38.0274
[LogReg][Epoch 52/150] Loss: 37.4109
[LogReg][Epoch 53/150] Loss: 37.5995
[LogReg][Epoch 54/150] Loss: 35.9099
[LogReg][Epoch 55/150] Loss: 36.5944
[LogReg][Epoch 56/150] Loss: 36.6102
[LogReg][Epoch 57/150] Loss: 37.9162
[LogReg][Epoch 58/150] Loss: 36.8099
[LogReg][Epoch 59/150] Loss: 37.4685
[LogReg][Epoch 60/150] Loss: 37.9630
[LogReg][Epoch 61/150] Loss: 37.8718
[LogReg][Epoch 62/150] Loss: 36.3670
[LogReg][Epoch 63/150] Loss: 37.4267
[LogReg][Epoch 64/150] Loss: 36.8072
[LogReg][Epoch 65/150] Loss: 36.2280
[LogReg][Epoch 66/150] Loss: 37.5325
[LogReg][Epoch 67/150] Loss: 37.8931
[LogReg][Epoch 68/150] Loss: 38.1035
[LogReg][Epoch 69/150] Loss: 37.1491
[LogReg][Epoch 70/150] Loss: 37.2288
[LogReg][Epoch 71/150] Loss: 36.3724
[LogReg][Epoch 72/150] Loss: 37.2746
[LogReg][Epoch 73/150] Loss: 37.0447
[LogReg][Epoch 74/150] Loss: 37.7795
[LogReg][Epoch 75/150] Loss: 37.7074
[LogReg][Epoch 76/150] Loss: 37.3874
[LogReg][Epoch 77/150] Loss: 37.1315
[LogReg][Epoch 78/150] Loss: 36.7414
[LogReg][Epoch 79/150] Loss: 37.5740
[LogReg][Epoch 80/150] Loss: 38.5111
[LogReg][Epoch 81/150] Loss: 36.8034
[LogReg][Epoch 82/150] Loss: 37.7245
[LogReg][Epoch 83/150] Loss: 38.4625
[LogReg][Epoch 84/150] Loss: 37.6269
[LogReg][Epoch 85/150] Loss: 37.6377
[LogReg][Epoch 86/150] Loss: 36.9263
[LogReg][Epoch 87/150] Loss: 37.0451
[LogReg][Epoch 88/150] Loss: 37.5633
[LogReg][Epoch 89/150] Loss: 38.3721
[LogReg][Epoch 90/150] Loss: 36.9988
[LogReg][Epoch 91/150] Loss: 37.4934
[LogReg][Epoch 92/150] Loss: 36.6830
[LogReg][Epoch 93/150] Loss: 37.0207
[LogReg][Epoch 94/150] Loss: 36.7726
[LogReg][Epoch 95/150] Loss: 36.9576
[LogReg][Epoch 96/150] Loss: 37.5355
[LogReg][Epoch 97/150] Loss: 36.7250
[LogReg][Epoch 98/150] Loss: 37.7671
[LogReg][Epoch 99/150] Loss: 36.4414
[LogReg][Epoch 100/150] Loss: 36.9429
[LogReg][Epoch 101/150] Loss: 36.5793
[LogReg][Epoch 102/150] Loss: 37.4588
[LogReg][Epoch 103/150] Loss: 37.3327
[LogReg][Epoch 104/150] Loss: 37.2878
[LogReg][Epoch 105/150] Loss: 37.5008
[LogReg][Epoch 106/150] Loss: 36.4390
[LogReg][Epoch 107/150] Loss: 36.8935
[LogReg][Epoch 108/150] Loss: 36.7216
[LogReg][Epoch 109/150] Loss: 37.7466
[LogReg][Epoch 110/150] Loss: 36.0952
[LogReg][Epoch 111/150] Loss: 37.6963
[LogReg][Epoch 112/150] Loss: 36.6720
[LogReg][Epoch 113/150] Loss: 37.3650
[LogReg][Epoch 114/150] Loss: 37.3193
[LogReg][Epoch 115/150] Loss: 36.3934
[LogReg][Epoch 116/150] Loss: 37.3382
[LogReg][Epoch 117/150] Loss: 36.9808
[LogReg][Epoch 118/150] Loss: 37.5081
[LogReg][Epoch 119/150] Loss: 36.7673
[LogReg][Epoch 120/150] Loss: 38.1481
[LogReg][Epoch 121/150] Loss: 37.0881
[LogReg][Epoch 122/150] Loss: 36.8241
[LogReg][Epoch 123/150] Loss: 37.1397
[LogReg][Epoch 124/150] Loss: 36.4499
[LogReg][Epoch 125/150] Loss: 37.9172
[LogReg][Epoch 126/150] Loss: 37.7016
[LogReg][Epoch 127/150] Loss: 37.0277
[LogReg][Epoch 128/150] Loss: 36.5145
[LogReg][Epoch 129/150] Loss: 37.2205
[LogReg][Epoch 130/150] Loss: 37.5638
[LogReg][Epoch 131/150] Loss: 36.9003
[LogReg][Epoch 132/150] Loss: 36.9536
[LogReg][Epoch 133/150] Loss: 37.1137
[LogReg][Epoch 134/150] Loss: 36.6371
[LogReg][Epoch 135/150] Loss: 37.3028
[LogReg][Epoch 136/150] Loss: 38.1687
[LogReg][Epoch 137/150] Loss: 37.2562
[LogReg][Epoch 138/150] Loss: 36.5726
[LogReg][Epoch 139/150] Loss: 37.4629
[LogReg][Epoch 140/150] Loss: 37.8966
